"id";"nom";"adresse";"ville";"pays";"url_entreprise";"stagiaire"
"89";"STEF Information &Technologies";"ZA Atlantheix rue Jacques Cartier
";"23761";"67";"http://www.stef.com/index.fr
";""
"90";"Biorance";"rue Jean Rozé
";"15867";"67";"http://www.biorance.com
";""
"91";"FG Synerys";"14 rue paule raymondis zac de gabardie, BP2370
";"14139";"67";"www.fgsynerys.fr
";""
"92";"AM TECH";"IMMEUBLE GOLFE AFFAIRES - 36 BD DE LA RESISTANCE
";"23770";"67";"";""
"93";"Celtipharm";"Kérino, Allée Nicolas Le Blanc, PIBS, CP 130
";"23770";"67";"www.celtipharm.com";""
"94";"CG56";"2 - Rue de Saint-Tropez
";"23770";"67";"";""
"95";"Chaire ACT-TER";"Chaire ACT-TER Faculté de Droit, de Sciences Economiques et de Gestion 1 rue de la Loi
";"23770";"67";"";""
"96";"Conseil général du Morbihan";"2, rue Saint-Tropez
";"23770";"67";"http://morbihan.fr
";""
"97";"dbao";"24 boulevard de la résistance
";"23770";"67";"http://db-ao.com
";""
"98";"E-Comouest";"PIBS - Bâtiment Prisme 2 - Place Albert Einstein

";"23770";"67";"http://www.e-comouest.com/
";""
"99";"FB2L FACTO";"1 Rue des Goélands

";"23770";"67";"http://www.fb2l-facto.com/home.php
";""
"100";"Intel";"Le prisme Parc d'Innovation Bretagne Sud
";"23770";"67";"";""
"101";"IRISA-UBS";"IRISA-UBS Université de Bretagne-Sud, Campus de Tohannic
";"23770";"67";"http://www-irisa.univ-ubs.fr/
";""
"102";"IRISA-UBS";"ENSIBS - Campus de Tohannic
";"23770";"67";"";""
"103";"Jexlprod";"Immeuble PIREN rue Henri Becquerel
";"23770";"67";"http://www.jexlprod.com/
";""
"104";"LDC Conseil";"LDC Conseil BP 200 70 cedex
";"23770";"67";"http://www.seminaires.fr/
";""
"105";"MGDIS";"Parc d'Innovation Bretagne Sud - CP 10
";"23770";"67";"";""
"106";"MGS Consulting";"Pépinière d'Entreprises CREALIS Zone de Pentaparc rue Lefèvre Utile
";"23770";"67";"http://www.mgsconsulting.fr/
";""
"107";"Miwim";"Parc Pompidou, Entrée 1
";"23770";"67";"http://societe.miwim.fr
";""
"108";"Septentrion Communication";"36 bd de la résistance
";"23770";"67";"";""
"109";"Wallace Systems";"6 place Albert Einstein

";"23770";"67";"http://www.wallace-systems.net/
";""
"110";"ID Interactive";"Parc Pompidou CP3448 Bâtiment D - Porte 2 - Etage 1
";"23770";"67";"http://www.id-interactive.fr/
";""
"111";"Astellia";"ZA du Plessis - Rue du Plessis
";"15882";"67";"www.astellia.com
";""
"112";"Luceo";"EDIXIA SAS-Z.A.R.T des Perrière - CS 27259
";"15882";"67";"http://www.edixia.com/
";""
"113";"Ministère de la Défense - DCSI";"3, rue de l'indépendance américaine - CS806012
";"34147";"67";"";""
"114";"Renault Automobile";"42 route de Beynes
";"34157";"67";"www.renault.fr
";""
"115";"Vitré communauté";"16 bis Boulevard des Rochers BP 20613
";"15890";"67";"http://www.vitrecommunaute.org
";""
